Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR13844379,WGS,300,6950743800,PRJNA705895,SAMN18106017,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2137797035,SINAI HOSPITAL OF BALTIMORE,2013-12-10,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",human stool,not applicable,not applicable,SRX10222834,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina NovaSeq 6000,stool,39.29 N 76.61 W,PreFMT.D,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2021-05-29T00:00:00Z,2021-03-03T13:16:00Z,1,SH-S-10,SRP309077
SRR13844380,WGS,302,7549718536,PRJNA705895,SAMN18106094,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2502274634,SINAI HOSPITAL OF BALTIMORE,2018-08-02,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",human stool,not applicable,not applicable,SRX10222833,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina NovaSeq 6000,stool,39.29 N 76.61 W,PostFMT.V.1.month,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2021-05-29T00:00:00Z,2021-03-03T13:13:00Z,1,SH-S-87,SRP309077
SRR13844381,WGS,302,8042315568,PRJNA705895,SAMN18106093,"MIGS/MIMS/MIMARKS.human-gut,MIMS.me",2676804100,SINAI HOSPITAL OF BALTIMORE,2018-06-28,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",human stool,not applicable,not applicable,SRX10222832,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina NovaSeq 6000,stool,39.29 N 76.61 W,PreFMT.V,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2021-05-29T00:00:00Z,2021-03-03T13:07:00Z,1,SH-S-86,SRP309077
SRR13844382,WGS,302,8216502222,PRJNA705895,SAMN18106092,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2720440157,SINAI HOSPITAL OF BALTIMORE,2018-04-24,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",human stool,not applicable,not applicable,SRX10222831,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina NovaSeq 6000,stool,39.29 N 76.61 W,Donor.V,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2021-05-29T00:00:00Z,2021-03-03T13:03:00Z,1,SH-S-85,SRP309077
SRR13844383,WGS,302,7476439746,PRJNA705895,SAMN18106091,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2487439496,SINAI HOSPITAL OF BALTIMORE,2018-06-07,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",human stool,not applicable,not applicable,SRX10222830,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina NovaSeq 6000,stool,39.29 N 76.61 W,PostFMT.U.1.month,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2021-05-29T00:00:00Z,2021-03-03T13:06:00Z,1,SH-S-84,SRP309077
SRR13844384,WGS,302,10468788022,PRJNA705895,SAMN18106090,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3482379035,SINAI HOSPITAL OF BALTIMORE,2018-05-10,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",human stool,not applicable,not applicable,SRX10222829,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina NovaSeq 6000,stool,39.29 N 76.61 W,PreFMT.U,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2021-05-29T00:00:00Z,2021-03-03T13:45:00Z,1,SH-S-83,SRP309077
SRR13844385,WGS,302,10803370198,PRJNA705895,SAMN18106089,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3582505026,SINAI HOSPITAL OF BALTIMORE,2018-06-18,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",human stool,not applicable,not applicable,SRX10222828,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina NovaSeq 6000,stool,39.29 N 76.61 W,PostFMT.T.3.month,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2021-05-29T00:00:00Z,2021-03-03T13:29:00Z,1,SH-S-82,SRP309077
SRR13844386,WGS,302,10330556280,PRJNA705895,SAMN18106088,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3415915146,SINAI HOSPITAL OF BALTIMORE,2018-03-15,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",human stool,not applicable,not applicable,SRX10222827,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina NovaSeq 6000,stool,39.29 N 76.61 W,PreFMT.T,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2021-05-29T00:00:00Z,2021-03-03T13:20:00Z,1,SH-S-81,SRP309077
SRR13844387,WGS,300,7254000000,PRJNA705895,SAMN18106016,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2215099236,SINAI HOSPITAL OF BALTIMORE,2013-01-28,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",human stool,not applicable,not applicable,SRX10222826,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina NovaSeq 6000,stool,39.29 N 76.61 W,Donor.C,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2021-05-29T00:00:00Z,2021-03-03T13:06:00Z,1,SH-S-09,SRP309077
SRR13844388,WGS,302,9914753016,PRJNA705895,SAMN18106087,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3273997889,SINAI HOSPITAL OF BALTIMORE,2018-02-27,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",human stool,not applicable,not applicable,SRX10222825,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina NovaSeq 6000,stool,39.29 N 76.61 W,Donor.T/U,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2021-05-29T00:00:00Z,2021-03-03T13:06:00Z,1,SH-S-80,SRP309077
SRR13844389,WGS,302,7890393260,PRJNA705895,SAMN18106086,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2612303428,SINAI HOSPITAL OF BALTIMORE,2019-08-14,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",human stool,not applicable,not applicable,SRX10222824,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina NovaSeq 6000,stool,39.29 N 76.61 W,PostFMT.S.12.month,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2021-05-29T00:00:00Z,2021-03-03T13:16:00Z,1,SH-S-79,SRP309077
SRR13844390,WGS,302,7047698802,PRJNA705895,SAMN18106085,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2341420394,SINAI HOSPITAL OF BALTIMORE,2018-01-10,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",human stool,not applicable,not applicable,SRX10222823,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina NovaSeq 6000,stool,39.29 N 76.61 W,PostFMT.S.6.month,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2021-05-29T00:00:00Z,2021-03-03T13:13:00Z,1,SH-S-78,SRP309077
SRR13844391,WGS,302,9944599676,PRJNA705895,SAMN18106084,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3293792326,SINAI HOSPITAL OF BALTIMORE,2017-10-04,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",human stool,not applicable,not applicable,SRX10222822,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina NovaSeq 6000,stool,39.29 N 76.61 W,PostFMT.S.3.month,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2021-05-29T00:00:00Z,2021-03-03T13:06:00Z,1,SH-S-77,SRP309077
SRR13844392,WGS,302,7283782168,PRJNA705895,SAMN18106083,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2416362524,SINAI HOSPITAL OF BALTIMORE,2017-07-26,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",human stool,not applicable,not applicable,SRX10222821,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina NovaSeq 6000,stool,39.29 N 76.61 W,PostFMT.S.1.month,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2021-05-29T00:00:00Z,2021-03-03T13:16:00Z,1,SH-S-76,SRP309077
SRR13844393,WGS,302,8165422848,PRJNA705895,SAMN18106082,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2693884843,SINAI HOSPITAL OF BALTIMORE,2017-06-27,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",human stool,not applicable,not applicable,SRX10222820,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina NovaSeq 6000,stool,39.29 N 76.61 W,PreFMT.S,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2021-05-29T00:00:00Z,2021-03-03T13:15:00Z,1,SH-S-75,SRP309077
